<ID|readonly|noverify>;<English>
weapons/66mm_germ_smoke_candle_launcher/short;Smoke
weapons/76mm_nato_smoke_grenade_launcher;76 mm smoke grenade launcher
weapons/76mm_nato_smoke_grenade_launcher/short;Smoke
weapons/76mm_nato_smoke_grenade_launcher_single;76 mm smoke grenade launcher
weapons/76mm_nato_smoke_grenade_launcher_single/short;Smoke
weapons/76mm_nato_smoke_grenade_launcher_ru251;76 mm smoke grenade launcher
weapons/76mm_nato_smoke_grenade_launcher_ru251/short;Smoke
weapons/76mm_modern_smoke_grenade_launcher;76 mm smoke grenade launcher
weapons/76mm_modern_smoke_grenade_launcher/short;smoke
weapons/60mm_modern_smoke_grenade_launcher;60 mm smoke grenade launcher
weapons/60mm_modern_smoke_grenade_launcher/short;Smoke
weapons/76mm_modern_germ_smoke_grenade_launcher;76 mm smoke grenade launcher
weapons/76mm_modern_germ_smoke_grenade_launcher/short;Smoke
weapons/66mm_modern_uk_smoke_grenade_launcher;66 mm smoke grenade launcher
weapons/66mm_modern_uk_smoke_grenade_launcher/short;Smoke
weapons/66mm_modern_us_smoke_grenade_launcher;66 mm smoke grenade launcher
weapons/66mm_modern_us_smoke_grenade_launcher/short;Smoke
weapons/66mm_modern_smoke_grenade_launcher;66 mm smoke grenade launcher
weapons/66mm_modern_smoke_grenade_launcher/short;Smoke
weapons/40mm_modern_smoke_grenade_launcher;40 mm smoke grenade launcher
weapons/40mm_modern_smoke_grenade_launcher/short;Smoke
weapons/66mm_type_90_modern_smoke_grenade_launcher;66 mm smoke grenade launcher
weapons/66mm_type_90_modern_smoke_grenade_launcher/short;Smoke
weapons/66mm_uk_smoke_grenade_launcher;66 mm smoke grenade launcher
weapons/66mm_uk_smoke_grenade_launcher/short;Smoke
weapons/66mm_smoke_grenade_launcher_m60a2;76 mm smoke grenade launcher
weapons/66mm_smoke_grenade_launcher_m60a2/short;Smoke
76mm_howitzer_shell_smoke;3-inch Smoke
76mm_smoke_grenade;Smoke grenade
63mm_smoke_grenade;Smoke grenade
66mm_smoke_grenade;Smoke grenade
81mm_smoke_grenade;Smoke grenade
weapons/80mm_galix_smoke_grenade_launcher;80 mm smoke grenade launcher
weapons/80mm_galix_smoke_grenade_launcher/short;Smoke
80mm_galix_smoke_grenade;Smoke grenade
weapons/t_34_100_smoke_barrel_launcher;BDSh
weapons/t_34_100_smoke_barrel_launcher/short;Smoke
weapons/t_44_100_smoke_barrel_launcher;BDSh
weapons/t_44_100_smoke_barrel_launcher/short;Smoke
weapons/asu_85_smoke_barrel_launcher;BDSh
weapons/asu_85_smoke_barrel_launcher/short;Smoke
weapons/is_3_smoke_barrel_launcher;BDSh
weapons/is_3_smoke_barrel_launcher/short;Smoke
weapons/is_4m_smoke_barrel_launcher;BDSh
weapons/is_4m_smoke_barrel_launcher/short;Smoke
weapons/object_268_smoke_barrel_launcher;BDSh
weapons/object_268_smoke_barrel_launcher/short;Smoke
weapons/su_122_54_smoke_barrel_launcher;BDSh
weapons/su_122_54_smoke_barrel_launcher/short;Smoke
weapons/t_10m_smoke_barrel_launcher;BDSh
weapons/t_10m_smoke_barrel_launcher/short;Smoke
weapons/t54_1947_smoke_barrel_launcher;BDSh
weapons/t54_1947_smoke_barrel_launcher/short;Smoke
weapons/t54_1951_smoke_barrel_launcher;BDSh
weapons/t54_1951_smoke_barrel_launcher/short;Smoke
weapons/type_62_smoke_barrel_launcher;BDSh
weapons/type_62_smoke_barrel_launcher/short;Smoke
weapons/uk_450mm_18in_mk15_torpedo;450 mm Mk XV torpedo
weapons/uk_450mm_18in_mk15_torpedo/short;Mk XV
weapons/40mm_l60_bofors_mk1_twin_naval_user_cannon;40 mm Bofors L/60 Mark 1 gun
weapons/40mm_l60_bofors_mk2_quad_naval_user_cannon;40 mm Bofors L/60 Mark 2 gun
weapons/40mm_l60_bofors_mk3_single_naval_user_cannon;40 mm Bofors L/60 Mark 3 gun
weapons/40mm_qf_bofors_mk7_single_naval_user_cannon;40 mm QF Mark VII gun
weapons/40mm_qf_bofors_mk5_twin_naval_user_cannon;40 mm QF Mark V gun
weapons/40mm_qf_bofors_staag_mk2_twin_naval_user_cannon;40 mm QF STAAG Mark II gun
weapons/40mm_Mle51_t1_user_cannon;40 mm Mle51 T1 cannon
weapons/81mm_mk_2_mortar_naval_user_cannon;81 mm Mk 2 mortar
weapons/81mm_mk_2_mortar_naval_user_cannon/short;Mk.2 mortar
weapons/40mm_l70_bofors_mel58_naval_user_cannon;40 mm/70 MEL58 mounting
40mm_m_dn51;40 mm M-DN51 HE-T
40mm_he_t_pf;40 mm HE-T-PF
weapons/114mm_19_4_5in_8cwt_qf_mark1_naval_user_cannon;114 mm/19 8cwt QF Mk I cannon
weapons/37mm_69_flak_m42_naval_user_cannon;3.7 cm FlaK-Lafette C/36 mounting
weapons/37mm_69_flak_lm42_twin_naval_user_cannon;3.7 cm FlaK-Lafette LM/42 mounting
114mm_he_shell;114 mm HE
25mm_type96_apt;25 mm APT
weapons/120mm_Schneider_Canet_1898_user_cannon;120 mm Schneider-Canet 1898 cannon
120mm_schneider_canet_common;Schneider-Canet SAP
120mm_schneider_canet_he;Schneider-Canet HE
weapons/70mm_Type94_user_cannon;70 mm Type 94 cannon
70mm_type92_he;Type 92 HE
70mm_type95_ap;Type 95 APHE
weapons/7_7mm_Type_97_user_machinegun;7.7 mm Type 97 machine gun
weapons/6_5mm_Type_91_user_machinegun;6.5 mm Type 91 machine gun
weapons/20mm_type98_user_cannon;20 mm Type 98 cannon
weapons/37mm_type_94_user_cannon;37 mm Type 94 cannon
weapons/37mm_Type1_user_cannon;37 mm Type 1 cannon
weapons/37mm_Type100_user_cannon;37 mm Type 100 cannon
weapons/47mm_Type1_user_cannon;47 mm Type 1 cannon
weapons/57mm_Type90_user_cannon;57 mm Type 90 cannon
weapons/57mm_Type97_user_cannon;57 mm Type 97 cannon
weapons/75mm_Type3_user_cannon;75 mm Type 3 cannon
weapons/75mm_Type4_user_cannon;75 mm Type 5 cannon
weapons/120mm_type_3_user_cannon;120 mm 3d Year Type cannon
weapons/120mm_10th_Year_type_user_cannon;120 mm 10th Year Type cannon
120mm_common_he_base_fuze;C.P.(BF)
120mm_ordinary_mod_1;Ordinary, Mod.1
weapons/75mm_Type90_user_cannon;75 mm Type 90 cannon
weapons/75mm_Type99_user_cannon;75 mm Type 99 cannon
weapons/120mm_Navy_Short_Gun_user_cannon;120 mm Navy short gun
weapons/90mm_Type61_user_cannon;90 mm Type 61 cannon
weapons/20mm_Type98_user_cannon;20 mm Type 98 cannon
weapons/150mm_Type_38_user_cannon;150 mm Type 38 howitzer
weapons/76mm_1902_30_user_cannon;76 mm 1902/30 cannon
weapons/85mm_Type_62_85_TC_user_cannon;85 mm Type-62-85-TC cannon
weapons/85mm_Type_63_user_cannon;85 mm Type 63 cannon
weapons/85mm_Type_56_user_cannon;85 mm Type 56 cannon
type_56_he;Type 56 HE
type_56_apc;Type 56 APCBC
type_56_hvap;Type 56 HVAP
type_56_ap;Type 56 AP
type_56_apbc;Type 56 APBC
type_56_apcr;Type 56 APCR
85mm_djw_85;DJW85
20mm_type100_ap;Type 100 AP-T
20mm_type100_he;Type 100 HE-T
37mm_aphe;Type 94 APHE
37mm_type1_ap;Type 1 APHE
47mm_type1_ap;Type 1 APHE
47mm_type1_he;Type 1 HE
57mm_type90_ap;Type 92 APHE
57mm_type90_he;Type 90 HE
57mm_type3;Type 3 HEAT
70mm_type3;Type 3 HEAT
75mm_type1_ap;Type 1 APHE
75mm_type2;Type 2 HEAT
75mm_type90;Type 90 HE
75mm_type94_he;Type 94 HE
75mm_type90_smoke;Type 90 Smoke
75mm_type95;Type 95 APHE
120mm_type88_mod4_fuze;Short Ordinary HE
120mm_type88_selective_fuze;Selective Fuze HE
150mm_type_92;Type 92 HE
150mm_type_95;Type 95 APHE
106mm_m344a1;M344A1
106mm_m361a1;M361A1
weapons/depth_charge_de_wbd;WBD depth charge
weapons/depth_charge_de_wbd/short;WBD
weapons/de_450_torpedo_1a1;450 mm LT 1A/1 torpedo
weapons/de_450_torpedo_1a1/short;LT 1A/1
mg131_fighter/name;Omni-purpose ammunition belt for 13 mm machine gun
mg131_fighter/name/short;Universal
mg131_apt/name;13 mm machine gun ammunition belt with APT bullets
mg131_apt/name/short;APIT
mg131_heit/name;13 mm machine gun ammunition belt with HEIT bullets
mg131_heit/name/short;IAI
mgc30l_apit/name;20 mm armor-piercing incendiary shells with tracers
mgc30l_apit/name/short;APIT
mgc30l_heit/name;20 mm HE fragmentation-incendiary shells with tracers
mgc30l_heit/name/short;HEFI-T
mgc30l_mix/name;20 mm HE fragmentation-incendiary and armor-piercing incendiary shells with tracers.
mgc30l_mix/name/short;Universal
nr23_turret_heit/name;23 mm fragmentation-incendiary shells with tracers
nr23_turret_heit/name/short;FI-T
nr23_turret_apit/name;23 mm armor-piercing incendiary shells with tracers
nr23_turret_apit/name/short;APIT
23mm_ussr_HEIT/name;23 mm HE fragmentation-incendiary shells with tracers
23mm_ussr_HEIT/name/short;HEFI-T
23mm_ussr_APIT/name;23 mm armor-piercing incendiary shells with tracers
23mm_ussr_APIT/name/short;APIT
20mm_Vulcan_HEI/name;20 mm HE fragmentation-incendiary shells with tracers
20mm_Vulcan_HEI/name/short;HEFI-T
20mm_Vulcan_API/name;20 mm armor-piercing incendiary shells with tracers
20mm_Vulcan_API/name/short;APIT
weapons/20mm_65_c38_naval_user_cannon;2 cm/65 C/38 automatic cannon
weapons/20mm_65_c38_zwilling_naval_user_cannon;2 cm/65 Flakzwilling 38 automatic cannon
weapons/20mm_65_c30_naval_user_cannon;2 cm/65 C/30 automatic cannon
weapons/de_500mm_g7_torpedo;500 mm G7 torpedo
weapons/de_500mm_g7_torpedo/short;G7
weapons/de_533mm_g7a_torpedo;533 mm G7a torpedo
weapons/de_533mm_g7a_torpedo/short;G7a
weapons/de_533mm_g7e_torpedo;533 mm G7e torpedo
weapons/de_533mm_g7e_torpedo/short;G7e
weapons/15mm_MG151_user_cannon;15 mm MG151/15 machine gun
15mm_h_pzgr;H-Pzgr.
weapons/15mm_MG151_mid_drilling_user_cannon;15 mm MG151 machine gun
weapons/15mm_MG151_out_drilling_user_cannon;15 mm MG151 machine gun
weapons/15mm_mg151_1936_naval_user_cannon;15 mm MG 151 machine gun
weapons/15mm_mg151_1936_overheating_naval_user_cannon;15 mm MG 151 machine gun
weapons/us_533mm_21in_mark18_mod1_torpedo;533 mm Mk.8-3 C/D torpedo
weapons/us_533mm_21in_mark18_mod1_torpedo/short;Mk.8-3 C/D
weapons/depth_charge_mk_6;Mk.6 depth charge
weapons/depth_charge_mk_6/short;Mk.6
weapons/20mm_oerlikon_mk2_single_naval_user_cannon;20 mm/70 Oerlikon Mk.II autocannon
weapons/20mm_oerlikon_mk2_single_naval_user_cannon/short;Oerlikon Mk.II
weapons/37mm_56_an_m4_naval_user_cannon;37 mm AN-M4 cannon
weapons/40mm_56_4cm_flak_28_bofors_naval_user_cannon;4 cm Bofors Flak 28 cannon
40mm_sprgr_patr_flak28_he;40 mm HE-T
37mm_m80;M80
weapons/12_7mm_m2_browning_naval_user_machinegun;12.7 mm Browning AN-M2 machine gun
weapons/12_7mm_m2_browning_naval_user_machinegun/short;AN-M2
weapons/12_7mm_M80_user_machinegun;12.7 mm M80 machine gun
weapons/12_7mm_M80_20_user_machinegun;12.7 mm M8C machine gun
weapons/12_7mm_Type_60B_user_machinegun;12.7 mm Type 60 (B) machine gun
weapons/us_569mm_22_5_in_mark13_torpedo;569 mm Mk.13 torpedo
weapons/us_569mm_22_5_in_mark13_torpedo/short;Mk.13
weapons/40mm_50_2pdr_rolls_royce_mk14_naval_user_cannon;40 mm 2pdr Rolls Royce semi-automatic cannon
weapons/40mm_39_2pdr_qf_mk2c_naval_user_cannon;40 mm 2pdr QF Mk.IIc automatic cannon
weapons/12_7mm_vickers_mk5_naval_user_machinegun;12.7 mm Vickers Mk.V machine gun
weapons/20mm_oerlikon_mk5_twin_mount_naval_user_cannon;20 mm/70 Oerlikon Mark V autocannon
weapons/20mm_oerlikon_mk24_twin_mount_naval_user_cannon;20 mm/70 Oerlikon Mark 24 autocannon
weapons/depth_charge_mk_vii;Mk.VII depth charge
weapons/depth_charge_mk_vii/short;Mk.VII
weapons/depth_charge_mk_vii_mortar;Y-gun Mk.VII depth charge
weapons/depth_charge_mk_vii_mortar/short;Mk.VII
weapons/jp_450mm_type44_torpedo;450 mm Type 44 No.2 torpedo
weapons/jp_450mm_type44_torpedo/short;Type 44
weapons/jp_450mm_type2_torpedo;450 mm Type 2 torpedo
weapons/jp_450mm_type2_torpedo/short;Type 2
weapons/jp_610mm_type90_torpedo;610 mm Type 90 torpedo
weapons/jp_610mm_type90_torpedo/short;Type 90
weapons/depth_charge_jp_type95;Type 95 depth charge
weapons/depth_charge_jp_type95/short;Type 95
weapons/depth_charge_jp_type3;Type 3 depth charge
weapons/depth_charge_jp_type3/short;Type 3
weapons/depth_charge_jp_type2;Type 2 depth charge
weapons/depth_charge_jp_type2/short;Type 2
weapons/25mm_60_type96_naval_user_cannon;25 mm/60 Type 96 automatic cannon
weapons/25mm_60_hotchkiss_naval_user_cannon;25 mm/60 Hotchkiss automatic cannon
weapons/76mm_40_f34_naval_user_cannon;76 mm/40 F-34 cannon
weapons/su_ttka_53_183_torpedo_tube;533 mm 53-38 torpedo
weapons/su_ttka_53_183_torpedo_tube/short;53-38
weapons/45mm_46_21k_naval_user_cannon;45 mm/46 21-K cannon
weapons/45mm_68_21km_naval_user_cannon;45 mm/68 21-KM cannon
weapons/37mm_67_70k_single_naval_user_cannon;37 mm/67 70-K automatic cannon
weapons/12_7mm_dshk_1938_naval_user_machinegun;12.7 mm DShK machine gun
weapons/ussr_533mm_53_38_torpedo;533 mm 53-38 torpedo
weapons/ussr_533mm_53_38_torpedo/short;53-38
fab250_43;FAB-250 M43
weapons/105mm_JSW_user_cannon;105 mm JSW cannon
weapons/105mm_L7A3_Type74_user_cannon;105 mm L7A3 cannon
weapons/105mm_L7A3_Type74kai_user_cannon;105 mm L7A3 cannon
weapons/120mm_L30A1_user_cannon;120 mm L30A1 cannon
weapons/183mm_QF_L4_user_cannon;183 mm QF L4A1 cannon
weapons/90mm_BK90_Ru251_user_cannon;90 mm BK90 cannon
weapons/75mm_M2_howitzer_user_cannon;75 mm M2 howitzer
75mm_m66;M66
90mm_dm502;DM502
120mm_l26;L26
120mm_l27a1;L27A1
105mm_type93;Type 93
183mm_hesh;Enhanced Negotiation Tool
120mm_t14e3;T14E3
120mm_t17e1;T17E1
weapons/155mm_M185_user_cannon;155 mm M185 cannon
weapons/155mm_soltam_user_cannon;155 mm Soltam M839 cannon
weapons/155mm_m45_user_cannon;155 mm M45 cannon
weapons/155mm_m126_user_cannon;155 mm M126 cannon
weapons/155mm_m126e1_user_cannon;155 mm M126E1 cannon
weapons/155mm_T7_user_cannon;155 mm T7 cannon
155mm_m107;Dead Inside's Predator
155mm_m110;M110
155mm_m401;M401
155mm_m112b1;M112B1
155mm_t29e1;T29E1
weapons/120mm_T53_user_cannon;120 mm T53 cannon
120mm_t20e3;T20E3
120mm_m73;M73
weapons/106mm_M40_RR_user_cannon;106 mm recoilless rifle M40
weapons/105mm_L7A3_STB_user_cannon;105 mm L7A3 cannon
weapons/37mm_Type1_Chi_Ri_user_cannon;37 mm Type 1 cannon
weapons/75mm_Type5_user_cannon;75 mm Type 5 cannon
weapons/85mm_D58_user_cannon;85 mm D-58 cannon
88mm_spgr_lh31;8.8 cm Spgr. L/4.5 Lh 31
88mm_spgr_br_lh31;8.8 cm Spgr. L/4.5 Br. Lh 31
weapons/88mm_45_skc_35_naval_user_cannon;8.8 cm/45 S.K.C/35 cannon
weapons/7_62mm_Type74_user_machinegun;7.62 mm Type 74 machine gun
weapons/7_62mm_M37_user_machinegun;7.62 mm M37 machine gun
85mm_3bk2;3BK2
weapons/depth_charge_ussr_pr_183;BB-1 depth charge
weapons/depth_charge_ussr_pr_183/short;BB-1
weapons/85mm_52_90k_naval_user_cannon;85 mm/52 90-K cannon
weapons/25mm_79_2m3_naval_user_cannon;25 mm 2M-3 mounting
weapons/uk_533mm_21in_mk8_torpedo;533 mm Mk.VIII torpedo
weapons/uk_533mm_21in_mk8_torpedo/short;Mk.VIII
weapons/de_533mm_dm2a1_seal_torpedo;533 mm Seal DM2A1 torpedo
weapons/de_533mm_dm2a1_seal_torpedo/short;DM2A1
15mm_sprgr;SprGr
15mm_pzgr;Pzgr. L'spur
15mm_brsprgr;Brsprgr. L'spur
15mm_pzbrgr;Pzbrgr.
weapons/76mm_3K_user_cannon;76 mm 3-K cannon
76mm_br_361;BR-361
76mm_o_361;O-361
90mm_t142e3;T142E3
weapons/76mm_3inch_howitzer_MkI_tog_user_cannon;76 mm OQF 3-inch Howitzer Mk I
weapons/76mm_3inch_howitzer_MkI_user_cannon;76 mm OQF 3-inch Howitzer Mk I
76mm_howitzer_shell_he;3-inch Mark II
weapons/152mm_M64_user_cannon;152 mm М-64 cannon
weapons/152mm_M69_user_cannon;152 mm М-69 cannon
152mm_m69_he_fs;152 mm HE
152mm_m69_apds_fs;152 mm APDS-FS
152mm_m69_heat;152 mm HEAT-FS
weapons/152mm_LP83_user_cannon;152 mm LP-83 cannon
152mm_lp_83_apfsds;152 mm APFSDS
152mm_lp_83_he_fs;152 mm HE
weapons/132mm_M13_rocket_launcher;132 mm M13 rocket
weapons/132mm_M13_rocket_launcher/short;M-13
weapons/132mm_m13_m1_naval_rocket_launcher;132 mm M13 rocket
weapons/132mm_m13_m1_naval_rocket_launcher/short;M-13
weapons/300mm_M31_rocket_launcher;300 mm M-31 rocket
weapons/300mm_M31_rocket_launcher/short;M-31
132mm_m_13;M-13
300mm_m_31_uk;M-31-UK
weapons/100mm_D54TS_user_cannon;100 mm D-54TS cannon
100mm_d54ts_apds;D-54 APDS
100mm_d54ts_he;D-54 HE
100mm_d54ts_apcbc;D-54 AP
100mm_d54ts_heat;D-54 HEAT
weapons/100mm_D10T2S_user_cannon;100 mm D-10T2S cannon
weapons/100mm_D10T2S_fin_user_cannon;100 mm D-10T2S cannon
weapons/100mm_2A70_user_cannon;100 mm 2A70 cannon
weapons/100mm_2a70_zbd_user_cannon;100 mm ZPL04 cannon
100mm_aps_03;APS03
weapons/100mm_2A70_BMD_user_cannon;100 mm 2A70 cannon
weapons/30mm_2A72_BMD_user_cannon;30 mm 2A72 cannon
100mm_3bk_17m;3BK17M
100mm_m1000a1;M1000A1
100mm_3bm25;3BM25
100mm_3of_32;3OF32
100mm_3of_70;3OF70
weapons/20mm_MG151_20_user_cannon;20 mm MG151/20 cannon
20mm_brgr;2cm Brgr.L'Spur 151
20mm_pzbrgr_ph;2cm Pzbrgr.(Ph) 151
weapons/105mm_ZPL98A_user_cannon;105 mm ZPL98A cannon
weapons/20mm_GAI_CO1_user_cannon;20 mm GAI C01 cannon
weapons/20mm_Rh_202_Wiesel_user_cannon;20 mm Rh202 cannon
weapons/20mm_Rh_202_Marder_user_cannon;20 mm Rh202 cannon
weapons/20mm_Rh_202_user_cannon;20 mm Rh202 cannon
weapons/20mm_luchs_a2_user_cannon;20 mm Rh202 cannon
20mm_dm63;Monkey Darts
20mm_dm43;DM43
20mm_dm51a1;DM51A1
weapons/40mm_37_42M_user_cannon;40 mm 37/42M cannon
40mm_36m;36M
40mm_39m;39M
40mm_43m;43M
weapons/50mm_KwK39_1_user_cannon;50 mm KwK.39/1 cannon
weapons/90mm_T208E9_user_cannon;90 mm T208E9 cannon
90mm_t320;T320
90mm_t340e14h;T340E14H
90mm_t339e14;T339E14
76mm_d350a;D-350A
122mm_d462a;D-462A
weapons/105mm_Exp_HV_user_cannon;105 mm Experimental High Velocity cannon
105mm_exp_he;Use this to kill a Maus
105mm_type2_aphe;Master Spark
76mm_shell_ss_mk1;17pdr Shell SS Mk.1
83mm_shell_ss_mk1;20pdr Shell SS Mk.1
120mm_smoke_l34;L34
weapons/178mm_Hedgehog_user_cannon;Hedgehog
178mm_hedgehog_projectile;Hedgehog projectile
weapons/230mm_petard_spigot_mortar_user_cannon;potato cannon
no_1_demolition_bomb;Hot Potato
weapons/178mm_hedgehog_projectile/short;Hedgehog projectile
105mm_f_h_gr_nb;F.H.Gr.Nb.
75mm_k_gr_rot_nb;K.Gr.Rot Nb.
75mm_m89;M89
75mm_m88;M88
75mm_m64;M64
75mm_m361;M361
90mm_m313;M313
105mm_m84;M84
105mm_m416;M416
120mm_m357;M357
weapons/40mm_QF_2pdr_Churchill_user_cannon;Dispission
weapons/152mm_M162_user_cannon;152 mm M162 gun/launcher
weapons/127mm_38_mk12_naval_user_cannon;5 inch/38 Mark 12 Dual Purpose gun
weapons/127mm_38_mk12_mod14_aa_naval_user_cannon;5 inch/38 Mark 12 Dual Purpose gun
weapons/127mm_5_38_mk12_turret_mk21_single_naval_user_cannon;5 inch/38 Mark 21 Dual Purpose mount
weapons/127mm_5_38_mk12_turret_mk30_single_naval_user_cannon;5 inch/38 Mark 30 Dual Purpose mount
weapons/127mm_5_38_mk12_turret_mk38_twin_naval_user_cannon;5 inch/38 Mark 38 Dual Purpose mount
weapons/us_533mm_21in_mark15_torpedo;533 mm steam turbined Mk.15 torpedo
weapons/us_533mm_21in_mark15_torpedo/short;Mk.15
weapons/depth_charge_mk_6_mortar;Mk.6 mortar depth charge
weapons/depth_charge_mk_6_mortar/short;Mk.6
20mm_Shot_AP_T;20 mm APT
20mm_Shell_HE;20 mm HE
127mm_aa_mk34_mod10;5 inch AAC Mk.34
127mm_mk32_common;5 inch Common Mk.32
127mm_aa_mk31_mod1;5 inch AAVT Mk.31
127mm_mk46_special_common;5 inch SP Common Mk.46
127mm_it_aa_mk34_mod10;127 mm AAC Mk.34
127mm_it_mk32_common;127 mm Common Mk.32
127mm_it_aa_mk31_mod1;127 mm AAVT Mk.31
127mm_it_mk46_special_common;127 mm SP Common Mk.46
weapons/us_21_inch_mark_8;533 mm steam turbined Mk.8 torpedo mod.3A
weapons/us_21_inch_mark_8/short;Mk.8 mod.3A
weapons/127mm_5_50_type_3_naval_user_cannon;127 mm/50 3rd Year Type cannon
127mm_type_0;127 mm HE
127mm_type_0_aa;127 mm HE-TF
weapons/jp_torpedo_610mm_type93/short; Long Range Hole Poking Device
weapons/127mm_45_skc_34_naval_user_cannon;12.8 cm/45 SK C/34 naval gun
weapons/127mm_45_skc_34_naval_user_cannon/short;12.8 cm/45 SK C/34
128mm_sprgr_l44_bdz;12.8 cm Sprgr. L/4.4 Bd.Z
128mm_sprgr_l44_kpfz;12.8 cm Sprgr. L/4.4 Kpf.Z
128mm_sprgr_l44_ztz;12.8 cm Sprgr. L/4.4 Zt.Z
weapons/170mm_BAe_Swingfire_launcher_user_cannon;BAe TV License ATGM
weapons/170mm_bae_swingfire_fv438_launcher_user_cannon;BAe TV License ATGM
170mm_swingfire;TV License
weapons/170mm_swingfire/short;BAe TV License
170mm_swingfire_mk_2;Renewed TV License
weapons/170mm_swingfire_mk_2/short;BAe Renewed TV License
weapons/7_62mm_L37A2_user_machinegun;7.62 mm L37A2 machine gun
weapons/7_62mm_l37a2_enforcer_user_machinegun;7.62 mm L37A2 machine gun
weapons/7_62mm_L37A1_user_machinegun;7.62 mm L37A1 machine gun
100mm_3d3;3D3
weapons/158mm_NB_Wf_41_gun_rocket_launcher;150 mm Wgr.41 Spr rocket
weapons/75mm_Lightweight_Type1_model_II_user_cannon;75 mm Lightweight Type I Model II cannon
75mm_type_4_apcr;Type 4 APCR
weapons/75mm_Type_II_Model_I_user_cannon;75 mm Type II Model I cannon
75mm_type4_ap_kou;Type 4 Kou
weapons/75mm_Type_II_model_II_user_cannon;75 mm Type II Model II cannon
weapons/105mm_Type5_user_cannon;105 mm Type 5 cannon
weapons/7_92mm_mg34_1934_naval_user_machinegun;7.92 mm MG34 machine gun
weapons/depth_charge_de_emc;EMC depth charge
weapons/depth_charge_de_emc/short;EMC
37mm_spgr_lh_37;37 mm Spgr L/4.1 Lh 37
37mm_pzgr_zerl;37 mm Psgr L'spur Zerl
weapons/15mm_mg_m38t_naval_user_machinegun;15 mm MG M38(t) machine gun
weapons/us_533mm_21in_mark8_torpedo;21 in wet-heating Mk.8 torpedo
weapons/us_533mm_21in_mark8_torpedo/short;Mk.8
weapons/bomb_us_t37;7.2 in T37 bomb
weapons/bomb_us_t37/short;7.2in T37
weapons/depth_charge_ussr_bm1;BM-1 small depth charge
weapons/depth_charge_ussr_bm1/short;BM-1
weapons/depth_charge_ussr_bb1_mortar;BB-1 large depth charge
weapons/depth_charge_ussr_bb1_mortar/short;BB-1
47mm_pdr_he;3 pdr Mk.2 HE
85mm_type1956;Type 56 HEAT-FS
100mm_type1959;Type 59 APDS
weapons/100mm_Type59_user_cannon;100 mm Type 59 cannon
weapons/8mm_Breda_Mod38_user_machinegun;8 mm Breda Mod. 38 machine gun
weapons/47mm_qf3pdr_hotchkiss_naval_user_cannon;3 pdr QF Hotchkiss cannon
weapons/102mm_45_4in_qf_mark5_naval_user_cannon;4 in/45 QF Mark V cannon
weapons/102mm_45_4in_qf_mark5_aa_naval_user_cannon;4 in/45 QF Mark V cannon
weapons/depth_charge_jp_type95_mortar;Type 95 depth charge
weapons/depth_charge_jp_type95_mortar/short;Type 95
20mm_oerlikon_mk7_he_t;20 mm Mk.7 HET
20mm_oerlikon_mk9_ap_t;20 mm Mk.9 AP-T
45mm_or_73a;45 mm OR-73A HET
45mm_o_240;45 mm O-240 HE
weapons/14_5mm_kpv_naval_user_machinegun;14.5 mm KPV machine gun
120mm_50_ansaldo_1926_ap;120 mm AP
weapons/uk_533mm_21in_mk19_torpedo;533 mm Mk.IX torpedo
weapons/uk_533mm_21in_mk19_torpedo/short;Mk.IX
100mm_3_9_inch_he;100 mm HE
100mm_3_9_inch_he_tf;100 mm HE-TF
weapons/100mm_65_type_98_naval_user_cannon;100/65 mm Type 98 mod A cannon
20mm_mod35_he;20 mm HE
weapons/105mm_45_skc_32_naval_user_cannon;10.5 cm/45 SK C/32 cannon
20mm_sprgr_l_spur;20 mm HET
20mm_pzgr_l_spur;20 mm APT
weapons/40mm_39_vickers_terni_naval_user_cannon;40 mm/39 Vickers-Terni mod.1915/1917 autocannon
weapons/40mm_39_vickers_terni_mod1915_1917_naval_user_cannon;40 mm/39 Vickers-Terni mod.1915/1917 autocannon
weapons/40mm_39_vickers_terni_mod15_17_modif1930_naval_user_cannon;40 mm/39 Vickers-Terni mod.1915/1917, Modif.1930 autocannon
weapons/40mm_39_vickers_terni_mod15_17_naval_user_cannon;40 mm/39 Vickers-Terni mod.1915/1917 autocannon
40mm_vickers_terni_mod30_he;40 mm HE-F
40mm_vickers_terni_mod15_17_he;40 mm HE-TF
weapons/100mm_47_1928_naval_user_cannon;100 mm/47 O.T.O. Mod. 1928 cannon
weapons/152mm_6inch_45_bl_mk12_naval_user_cannon;6 inch/45 BL Mark XII cannon
weapons/152mm_6inch_50_bl_mk22_naval_user_cannon;6 inch/50 BL Mark XXII cannon
weapons/152mm_6inch_50_bl_mk23_naval_user_cannon;6 inch/50 BL Mark XXIII cannon
152mm_45_he;6 inch HE
152mm_45_cpbc;6 inch CPBC
152mm_45_cpc;6 inch CPC
152mm_50_mk25b_cpbc;6 inch Mark XXVb CPC
weapons/152mm_53_mod_45_1926_naval_user_cannon;152/53 mm Ansaldo mod.1926 cannon
weapons/152mm_53_mod_45_1929_naval_user_cannon;152/53 mm O.T.O. Mod.1929 cannon
Działo O.T.O. Mod.1929 kal. 152/53 mm;152 mm/53 kanón O.T.O. model 1929
152mm_53_granata_dirompente_he;152 mm HE Dirompente
152mm_53_granata_dirompente_he_tf;152 mm HE-TF Contro-aerea
